bus_no,bus_name,bus_type,departing_time,duration,reaching_time,star_rating,price,seat_availability
2,Arya Travels,A/C Semi Sleeper (2+2),23:59,05h 31m,05:30,3.4,545,16
2,Kalpaka Travels 1,A/C Sleeper (2+1),23:59,06h 01m,06:00,4.5,800,20
2,Galaxy Tours,2+1 Air Suspension A/C Seater / Sleeper,21:45,04h 15m,02:00,1.9,650,26
2,A1 Travels,Bharat Benz A/C Seater /Sleeper (2+1),22:15,03h 30m,01:45,2.9,600,24
2,Shajees Motors,A/C Semi Sleeper (2+2),22:30,04h 35m,03:05,2.1,480,20
2,Kallada Travels (Suresh Kallada),A/C Sleeper (2+1),23:15,03h 55m,03:10,1.5,700,17
2,Kalpaka Travels 1,A/C Semi Sleeper (2+2),23:59,05h 01m,05:00,2.6,600,25
2,Madhavi Travels,A/C Sleeper (2+1),22:20,04h 15m,02:35,4.0,999,19
2,LIYAS TOURS,Bharat Benz A/C Sleeper (2+1),23:05,04h 10m,03:15,3.8,1049,4
3,MMK Travels,A/C Sleeper (2+1),21:00,08h 30m,05:30,4.4,900,11
3,DLT BUS,A/C Sleeper (2+1),21:45,08h 45m,06:30,4.4,1100,9
3,P K Travels,A/C Sleeper (2+1),20:00,10h 00m,06:00,4.1,1100,14
3,AdSAAM BUS,VE A/C Sleeper (2+1),20:30,09h 45m,06:15,4.3,833,6
3,SKS Tours & Travels,A/C Sleeper (2+1),21:00,09h 00m,06:00,4.4,799,11
3,P K Travels,A/C Seater / Sleeper (2+1),21:45,09h 00m,06:45,4.2,900,7
3,National travels and logistics,A/C Sleeper (2+1),21:00,09h 15m,06:15,4.3,999,12
3,NS Transports,Non A/C Seater / Sleeper (2+1),19:30,09h 00m,04:30,4.2,799,1
3,NS Transports,A/C Sleeper (2+1),20:16,10h 14m,06:30,4.0,949,5
3,SAAM BUS,VE A/C Sleeper (2+1),21:00,08h 45m,05:45,4.3,900,6
3,Suraj Holidays,VE A/C Sleeper (2+1),22:00,09h 15m,07:15,3.2,880,12
3,Sam Tourist,NON AC Seater / Sleeper 2+1,21:00,09h 30m,06:30,3.2,664,20
3,National travels and logistics,NON A/C Sleeper (2+1),20:45,09h 30m,06:15,3.7,799,5
3,P K Travels,Non A/C Seater / Sleeper (2+1),21:00,09h 00m,06:00,3.9,799,3
3,DA Transports,A/C Sleeper (2+1),21:50,08h 55m,06:45,3.2,799,4
3,SKS Tourist Corporation (REGD),A/C Sleeper (2+1),21:30,09h 00m,06:30,3.4,899,10
3,A1 Travels,A/C Seater / Sleeper (2+1),22:30,08h 00m,06:30,2.5,700,7
3,A1 Travels,A/C Seater / Sleeper (2+1),20:00,09h 30m,05:30,2.1,800,7
3,A1 Travels,Non A/C Seater / Sleeper (2+1),21:45,08h 45m,06:30,2.9,800,4
3,Suraj Holidays,NON AC Seater / Sleeper 2+1,20:15,09h 40m,05:55,2.5,700,6
3,DA Transports,A/C Sleeper (2+1),22:01,09h 44m,07:45,2.6,849,4
4,KSRTC (Kerala) - 2517,Swift Deluxe Non AC Air Bus (2+2),18:36,04h 40m,23:16,3.0,309,10
4,KSRTC (Kerala) - 2131,Super Express Non AC Seater Air Bus (2+2),20:29,05h 21m,01:50,2.8,288,7
4,KSRTC (Kerala) - 915,Super Fast Non AC Seater (2+3),21:35,05h 35m,03:10,2.8,261,16
4,KSRTC (Kerala) - 352,Super Fast Non AC Seater (2+3),21:46,05h 24m,03:10,3.8,269,39
4,KSRTC (Kerala) - 1028,Super Fast Non AC Seater (2+3),22:10,05h 20m,03:30,2.8,269,43
4,KSRTC (Kerala) - 2071,Super Express Non AC Seater Air Bus (2+2),22:10,04h 20m,02:30,3.7,268,17
4,KSRTC (Kerala) - 43,Swift Deluxe Non AC Air Bus (2+2),22:15,05h 06m,03:21,2.9,309,5
4,KSRTC (Kerala) - 408,Super Express Non AC Seater Air Bus (2+2),22:30,04h 15m,02:45,2.8,299,11
4,KSRTC (Kerala) - 697,Super Fast Non AC Seater (2+3),22:34,05h 01m,03:35,4.4,231,36
4,KSRTC (Kerala) - 47,Swift Deluxe Non AC Air Bus (2+2),22:55,04h 57m,03:52,2.9,309,14
4,KSRTC (Kerala) - 1845,Low Floor AC Seater 2+2,23:04,05h 06m,04:10,3.5,383,9
4,Holy Maria Travels,A/C Semi Sleeper (2+2),20:50,05h 20m,02:10,3.7,600,24
4,Kalpaka Travels 1,A/C Sleeper (2+1),20:55,05h 35m,02:30,4.6,800,5
4,Sona Travels,Bharat Benz A/C Sleeper (2+1),21:00,05h 45m,02:45,3.2,899,9
4,UFO Bus,A/C Sleeper (2+1),21:15,05h 30m,02:45,4.0,810,11
4,Cochin Bus,Volvo Multi-Axle B9R A/c Semi Sleeper (2+2),21:15,05h 15m,02:30,0.0,667,3
4,UFO Bus,Volvo Multi-Axle B9R A/c Semi Sleeper (2+2),21:30,05h 15m,02:45,4.4,675,7
4,Madhavi Travels,A/C Semi Sleeper (2+2),21:30,04h 45m,02:15,3.9,599,16
4,Cochin Bus,A/C Sleeper (2+1),21:30,05h 00m,02:30,0.0,858,4
4,Madhavi Travels,A/C Sleeper (2+1),21:40,04h 25m,02:05,4.2,799,7
4,Madhavi Travels,A/C Sleeper (2+1),21:45,05h 15m,03:00,4.3,899,7
4,SG Travels,Bharat Benz A/C Sleeper (2+1),21:45,04h 45m,02:30,4.1,800,11
4,Arya Travels,A/C Sleeper (2+1),21:45,05h 30m,03:15,3.2,745,9
4,Arya Travels,A/C Sleeper (2+1),21:45,05h 30m,03:15,3.2,745,13
4,Kalpaka Travels 1,A/C Semi Sleeper (2+2),22:00,05h 00m,03:00,4.7,600,22
4,Madhavi Travels,A/C Semi Sleeper (2+2),22:10,05h 25m,03:35,4.3,549,17
4,LIYAS TOURS,Bharat Benz A/C Sleeper (2+1),22:40,05h 00m,03:40,3.7,749,10
4,Madhavi Travels,A/C Semi Sleeper (2+2),22:10,05h 25m,03:35,3.9,599,15
4,Madhavi Travels,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),23:59,04h 51m,04:50,4.4,699,25
4,Sonia Travels,A/C Seater/Sleeper (2+1),22:15,04h 14m,02:29,3.8,850,4
4,Madhavi Travels,A/C Semi Sleeper (2+2),23:59,04h 51m,04:50,4.2,699,20
4,EMERALD TRAVELS,Bharat Benz A/C Semi Sleeper (2+2),23:30,05h 00m,04:30,3.6,700,29
4,A1 Travels,Bharat Benz A/C Seater /Sleeper (2+1),23:59,05h 31m,05:30,3.8,700,28
4,Galaxy Tours,2+1 Air Suspension A/C Seater / Sleeper,01:15,04h 45m,06:00,3.4,600,27
4,Blue Bird Travels,A/C Seater Push Back (2+2),21:50,05h 00m,02:50,1.5,549,4
4,Greenline kerala,A/C Seater Push Back (2+2),22:01,04h 44m,02:45,1.9,500,9
4,A1 Travels,Bharat Benz A/C Sleeper (2+1),23:45,04h 15m,04:00,2.7,900,14
4,A1 Travels,Bharat Benz A/C Seater /Sleeper (2+1),23:59,05h 01m,05:00,2.8,600,36
4,Kallada Travels (Suresh Kallada),A/C Sleeper (2+1),23:59,04h 31m,04:30,2.2,750,14
4,Galaxy Tours,A/C Semi Sleeper (2+2),01:15,04h 45m,06:00,1.3,800,20
4,Adrin Travels,A/C Seater/Sleeper (2+1),21:00,05h 00m,02:00,4.8,1000,13
4,Madhavi Travels,A/C Sleeper (2+1),23:59,04h 31m,04:30,3.9,999,17
5,KSRTC (Kerala) - 793,Super Fast Non AC Seater (2+3),18:30,05h 30m,00:00,3.4,285,44
5,KSRTC (Kerala) - 51,Swift Deluxe Non AC Air Bus (2+2),21:35,06h 55m,04:30,3.5,419,35
5,KSRTC (Kerala) - 1077,Super Fast Non AC Seater (2+3),22:30,07h 20m,05:50,4.1,319,41
5,KSRTC (Kerala) - 1585,Swift Deluxe Non AC Air Bus (2+2),23:15,06h 55m,06:10,4.2,419,15
