s_type,departinbus_no,bus_name,bug_time,duration,reaching_time,star_rating,price,seat_availability
3,Kallada Travels (Suresh Kallada),A/C Sleeper (2+1),21:10,10h 05m,07:15,3.2,1400,13
3,NS Transports,Non A/C Seater / Sleeper (2+1),20:31,09h 59m,06:30,3.3,999,3
3,National travels and logistics,NON A/C Sleeper (2+1),20:45,09h 30m,06:15,3.7,1090,5
3,DA Transports,A/C Sleeper (2+1),21:50,08h 55m,06:45,3.6,1249,4
3,Suraj Holidays,NON AC Seater / Sleeper 2+1,21:15,09h 00m,06:15,3.1,1000,14
3,NS Transports,Non A/C Seater / Sleeper (2+1),19:31,08h 59m,04:30,3.5,999,3
3,SKS Tourist Corporation (REGD),A/C Sleeper (2+1),21:30,09h 00m,06:30,3.4,1399,2
3,Usha Transport,NON A/C Sleeper (2+1),22:01,09h 44m,07:45,2.2,900,11
3,A1 Travels,A/C Seater / Sleeper (2+1),22:30,08h 00m,06:30,2.5,1000,14
3,A1 Travels,A/C Seater / Sleeper (2+1),20:00,09h 30m,05:30,2.2,900,10
3,A1 Travels,Non A/C Seater / Sleeper (2+1),21:45,08h 45m,06:30,2.9,1200,1
lidays,Non A/C Seater / Sleeper (2+1),20:15,08h 55m,05:10,1.4,1250,1
3,DA Transports,A/C Sleeper (2+1),22:01,09h 44m,07:45,2.6,1299,43,Suraj Ho
3,Suraj Holidays,NON AC Seater / Sleeper 2+1,20:15,09h 40m,05:55,2.5,1110,5
4,KSRTC (Kerala) - 2569,Super Fast Non AC Seater (2+3),18:00,06h 35m,00:35,2.7,261,39
4,KSRTC (Kerala) - 2517,Swift Deluxe Non AC Air Bus (2+2),18:36,04h 40m,23:16,3.0,401,5
4,KSRTC (Kerala) - 915,Super Fast Non AC Seater (2+3),21:35,05h 35m,03:10,2.8,261,26
4,KSRTC (Kerala) - 352,Super Fast Non AC Seater (2+3),21:46,05h 24m,03:10,3.8,269,7
4,KSRTC (Kerala) - 1028,Super Fast Non AC Seater (2+3),22:10,05h 20m,03:30,2.8,269,4
4,KSRTC (Kerala) - 368,AC MULTI AXLE,22:25,04h 40m,03:05,2.5,750,8
4,KSRTC (Kerala) - 697,Super Fast Non AC Seater (2+3),22:34,05h 01m,03:35,4.4,231,17
4,KSRTC (Kerala) - 667,Super Fast Non AC Seater (2+3),22:35,03h 55m,02:30,3.2,230,2
4,Shajees Motors,A/C Semi Sleeper (2+2),19:30,05h 10m,00:40,3.0,600,3
4,Ubc travels,A/C Semi Sleeper (2+2),20:40,04h 20m,01:00,3.8,650,41
4,Kalpaka Travels 1,A/C Sleeper (2+1),20:55,05h 35m,02:30,4.6,800,1
4,Cochin Bus,Volvo Multi-Axle B9R A/c Semi Sleeper (2+2),21:15,05h 15m,02:30,,667,9
4,UFO Bus,A/C Sleeper (2+1),21:15,05h 30m,02:45,4.0,850,8
4,UFO Bus,Volvo Multi-Axle B9R A/c Semi Sleeper (2+2),21:30,05h 15m,02:45,4.4,675,12
4,Madhavi Travels,A/C Semi Sleeper (2+2),21:30,04h 45m,02:15,3.9,699,18
4,Cochin Bus,A/C Sleeper (2+1),21:30,05h 00m,02:30,,900,1
4,SG Travels,Bharat Benz A/C Sleeper (2+1),21:45,04h 45m,02:30,4.1,849,17
4,Sonia Travels,A/C Semi Sleeper (2+2),21:50,04h 55m,02:45,3.8,600,20
4,Kalpaka Travels 1,A/C Semi Sleeper (2+2),22:00,05h 00m,03:00,4.7,600,11
4,Surya Connect,Volvo A/C Semi Sleeper (2+2),22:00,04h 47m,02:47,4.7,500,17
4,Madhavi Travels,A/C Semi Sleeper (2+2),22:10,05h 25m,03:35,4.3,649,17
4,Madhavi Travels,A/C Semi Sleeper (2+2),22:10,05h 25m,03:35,3.9,599,11
4,Sonia Travels,A/C Seater/Sleeper (2+1),22:15,04h 14m,02:29,3.8,680,3
4,A1 Travels,Bharat Benz A/C Seater /Sleeper (2+1),23:59,05h 31m,05:30,3.8,800,4
4,EMERALD TRAVELS,A/C Semi Sleeper (2+2),00:40,03h 45m,04:25,3.4,650,11
4,Galaxy Tours,2+1 Air Suspension A/C Seater / Sleeper,01:15,04h 45m,06:00,3.4,850,6
4,Blue Bird Travels,A/C Seater Push Back (2+2),21:50,05h 00m,02:50,1.5,549,2
4,Greenline kerala,A/C Seater Push Back (2+2),22:01,04h 44m,02:45,1.9,600,14
4,A1 Travels,Bharat Benz A/C Sleeper (2+1),23:45,04h 15m,04:00,2.7,950,5
4,A1 Travels,Bharat Benz A/C Seater /Sleeper (2+1),23:59,05h 01m,05:00,2.8,800,4
4,LIYAS TOURS,Bharat Benz A/C Sleeper (2+1),22:40,05h 00m,03:40,3.7,1349,1
4,EMERALD TRAVELS,Bharat Benz A/C Semi Sleeper (2+2),23:30,05h 00m,04:30,3.4,1000,10
4,Madhavi Travels,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),23:59,04h 51m,04:50,4.4,999,14
5,KSRTC (Kerala) - 793,Super Fast Non AC Seater (2+3),18:30,05h 30m,00:00,3.4,285,21
5,KSRTC (Kerala) - 51,Swift Deluxe Non AC Air Bus (2+2),21:35,06h 55m,04:30,3.5,419,10
5,KSRTC (Kerala) - 1077,Super Fast Non AC Seater (2+3),22:30,07h 20m,05:50,4.1,319,39
5,KSRTC (Kerala) - 789,Super Fast Non AC Seater (2+3),22:50,04h 55m,03:45,4.1,473,13
5,KSRTC (Kerala) - 1585,Super Express Non AC Seater Air Bus (2+2),23:15,06h 55m,06:10,4.2,419,13
5,LIYAS TOURS,Bharat Benz A/C Sleeper (2+1),17:25,05h 40m,23:05,4.5,549,4
5,A1 Travels,Bharat Benz A/C Sleeper (2+1),17:30,06h 00m,23:30,4.2,600,23
5,Suraj Holidays,NON AC Seater / Sleeper 2+1,23:55,06h 05m,06:00,4.2,650,12
5,NS Transports,Non A/C Seater / Sleeper (2+1),23:57,06h 33m,06:30,4.1,647,11
5,SKS Tours & Travels,A/C Sleeper (2+1),23:59,05h 41m,05:40,3.6,799,13
5,NS Transports,Non A/C Seater / Sleeper (2+1),23:59,06h 11m,06:10,4.1,647,21
5,National travels and logistics,NON A/C Sleeper (2+1),00:40,05h 35m,06:15,3.6,749,4
5,Kallada Travels (Suresh Kallada),A/C Sleeper (2+1),17:30,05h 46m,23:16,1.9,550,12
5,A1 Travels,Non A/C Seater / Sleeper (2+1),23:40,07h 05m,06:45,1.4,600,15
5,A1 Travels,A/C Seater / Sleeper (2+1),23:45,06h 45m,06:30,1.4,700,16
5,SKS Tourist Corporation (REGD),A/C Sleeper (2+1),23:55,05h 35m,05:30,3.5,899,20
5,NS Transports,VE A/C Sleeper (2+1),23:59,07h 31m,07:30,4.1,878,8
5,FAST LINE BUS,A/C Sleeper (2+1),23:59,06h 16m,06:15,3.8,2429,34
6,NS Transports,Non A/C Seater / Sleeper (2+1),19:30,07h 00m,02:30,4.1,999,3
6,CHANCHALAS TOURS AND TRAVELS,A/C Semi Sleeper (2+2),19:50,07h 10m,03:00,4.2,1161,14
6,A1 Travels,A/C Seater / Sleeper (2+1),20:00,08h 00m,04:00,3.3,900,10
6,SAAM BUS,VE A/C Sleeper (2+1),20:30,07h 30m,04:00,4.0,1200,2
6,NS Transports,Non A/C Seater / Sleeper (2+1),20:31,05h 59m,02:30,4.1,999,3
6,National travels and logistics,NON A/C Sleeper (2+1),20:45,07h 15m,04:00,3.8,1090,10
6,MMK Travels,A/C Sleeper (2+1),21:00,06h 00m,03:00,4.3,1399,4
6,Suraj Holidays,NON AC Seater / Sleeper 2+1,21:00,06h 00m,03:00,3.4,1110,5
6,SKS Tours & Travels,A/C Sleeper (2+1),21:00,07h 00m,04:00,4.1,1299,10
6,SAAM BUS,VE A/C Sleeper (2+1),21:00,07h 30m,04:30,4.0,1100,10
6,National travels and logistics,A/C Sleeper (2+1),21:00,06h 15m,03:15,3.8,1250,11
6,Suraj Holidays,NON AC Seater / Sleeper 2+1,21:15,06h 45m,04:00,3.6,1000,14
6,FAST LINE BUS,A/C Sleeper (2+1),21:15,06h 45m,04:00,3.8,1169,20
6,NS Transports,VE A/C Sleeper (2+1),21:16,06h 14m,03:30,4.1,1248,2
6,SKS Tourist Corporation (REGD),A/C Sleeper (2+1),21:30,07h 15m,04:45,3.5,1399,2
6,A1 Travels,Non A/C Seater / Sleeper (2+1),21:45,06h 15m,04:00,3.6,1200,1
6,DA Transports,A/C Sleeper (2+1),21:50,06h 40m,04:30,3.6,1249,4
6,Suraj Holidays,VE A/C Sleeper (2+1),22:00,07h 00m,05:00,3.6,1160,12
6,A1 Travels,A/C Seater / Sleeper (2+1),22:30,05h 45m,04:15,3.3,1000,14
6,DA Transports,A/C Sleeper (2+1),22:01,06h 39m,04:40,3.6,1299,4
6,Sam Tourist,NON AC Seater / Sleeper 2+1,21:00,07h 00m,04:00,2.8,854,5
7,KSRTC (Kerala) - 424,Super Fast Non AC Seater (2+3),20:30,03h 45m,00:15,3.1,181,8
7,KSRTC (Kerala) - 2393,Low Floor AC Seater 2+2,20:30,03h 05m,23:35,2.5,253,1
7,KSRTC (Kerala) - 815,Super Fast Non AC Seater (2+3),21:10,03h 45m,00:55,3.1,181,20
7,KSRTC (Kerala) - 2954,Super Express Non AC Seater Air Bus (2+2),21:25,03h 30m,00:55,3.1,216,1
7,KSRTC (Kerala) - 1880,Low Floor AC Seater 2+2,21:30,03h 05m,00:35,1.7,253,1
7,KSRTC (Kerala) - 44,Swift Deluxe Non AC Air Bus (2+2),21:50,02h 50m,00:40,3.1,216,1
7,KSRTC (Kerala) - 1212,AC MULTI AXLE,22:00,02h 30m,00:30,3.1,340,1
7,KSRTC (Kerala) - 1841,Low Floor AC Seater 2+2,22:30,03h 10m,01:40,3.1,253,1
7,KSRTC (Kerala) - 586,Super Express Non AC Seater Air Bus (2+2),22:50,03h 15m,02:05,3.1,201,1
7,KSRTC (Kerala) - 129,SWIFT-GARUDA A/C SEATER BUS,23:05,02h 45m,01:50,3.1,227,30
7,KSRTC (Kerala) - 314,Super Fast Non AC Seater (2+3),23:15,03h 30m,02:45,3.1,181,9
7,KSRTC (Kerala) - 1843,Low Floor AC Seater 2+2,23:30,03h 05m,02:35,3.1,253,2
7,KSRTC (Kerala) - 345,Super Fast Non AC Seater (2+3),23:55,03h 40m,03:35,3.1,181,10
7,Blue Bird Travels,A/C Seater Push Back (2+2),21:40,03h 20m,01:00,3.1,899,4
7,BLM Transports,A/C Sleeper (2+1),22:00,03h 00m,01:00,3.9,1782,4
7,EMERALD TRAVELS,A/C Sleeper (2+1),22:10,02h 20m,00:30,3.0,1300,2
7,Madhavi Travels,A/C Sleeper (2+1),22:20,02h 50m,01:10,4.0,1699,3
7,Madhavi Travels,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),23:30,02h 25m,01:55,4.0,1299,49
7,A1 Travels,Bharat Benz A/C Sleeper (2+1),23:30,02h 00m,01:30,3.3,1400,3
7,UFO Bus,Volvo Multi-Axle B9R A/c Semi Sleeper (2+2),23:55,03h 35m,03:30,4.1,810,1
7,CGR Tranz,A/C Semi Sleeper (2+2),23:59,03h 01m,03:00,,650,33
7,UFO Bus,Volvo Multi-Axle B9R A/c Semi Sleeper (2+2),00:20,03h 10m,03:30,4.1,720,8
7,Kalpaka Travels 1,A/C Semi Sleeper (2+2),23:59,03h 41m,03:40,4.0,700,3
7,SG Travels,Bharat Benz A/C Sleeper (2+1),23:59,03h 31m,03:30,4.7,1099,1
7,Sona Travels,Volvo Multi-Axle B9R A/c Semi Sleeper (2+2),23:59,04h 31m,04:30,3.1,850,24
7,Arya Travels,A/C Seater/Sleeper (2+1),23:59,03h 16m,03:15,3.2,795,17
7,UFO Bus,A/C Seater Push Back (2+2),00:20,03h 10m,03:30,4.1,749,17
7,EMERALD TRAVELS,Volvo AC Seater Pushback 2+2,00:30,03h 25m,03:55,3.0,650,8
7,Galaxy Tours,2+1 Air Suspension A/C Seater / Sleeper,21:45,03h 00m,00:45,2.7,1200,27
7,MTS Travels,A/C Seater Push Back (2+2),23:30,03h 40m,03:10,1.9,800,40
7,Aadithya Travels,A/C Seater/Sleeper (2+1),23:30,03h 30m,03:00,2.5,1350,10
8,Madhavi Travels,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),23:30,08h 00m,07:30,4.0,1299,49
8,A1 Travels,A/C Seater / Sleeper (2+1),20:05,09h 25m,05:30,4.0,800,1
8,BLM Transports,A/C Sleeper (2+1),22:00,09h 00m,07:00,3.9,1746,4
8,Galaxy Tours,2+1 Air Suspension A/C Seater / Sleeper,21:45,08h 45m,06:30,3.1,1200,1
8,Aadithya Travels,A/C Seater/Sleeper (2+1),23:30,10h 00m,09:30,2.1,1350,7
8,A1 Travels,Bharat Benz A/C Sleeper (2+1),23:30,08h 30m,08:00,2.9,1200,1
8,Blue Bird Travels,A/C Seater Push Back (2+2),21:40,08h 20m,06:00,2.6,899,2
9,KSRTC (Kerala) - 3294,Super Fast Non AC Seater (2+3),21:00,07h 00m,04:00,2.5,332,10
9,Madhavi Travels,Volvo Multi-Axle I-Shift B11R Semi Sleeper (2+2),23:30,05h 20m,04:50,4.0,1299,49
9,A1 Travels,A/C Seater / Sleeper (2+1),20:05,06h 55m,03:00,3.8,800,2
10,KSRTC (Kerala) - 2884,Super Fast Non AC Seater (2+3),18:10,03h 50m,22:00,2.7,181,47
10,KSRTC (Kerala) - 2819,Super Fast Non AC Seater (2+3),18:45,03h 30m,22:15,2.7,181,44
10,KSRTC (Kerala) - 765,Super Fast Non AC Seater (2+3),19:00,03h 20m,22:20,2.7,181,48
10,KSRTC (Kerala) - 3191,Super Fast Non AC Seater (2+3),19:15,02h 30m,21:45,2.7,181,42
10,KSRTC (Kerala) - 723,Super Fast Non AC Seater (2+3),19:15,03h 30m,22:45,2.7,181,46
10,KSRTC (Kerala) - 1902,Super Fast Non AC Seater (2+3),19:40,03h 20m,23:00,2.7,181,30
10,KSRTC (Kerala) - 2572,Super Fast Non AC Seater (2+3),19:40,04h 10m,23:50,2.7,174,36
10,KSRTC (Kerala) - 757,Super Fast Non AC Seater (2+3),19:45,03h 35m,23:20,2.7,181,40
10,KSRTC (Kerala) - 994,Super Fast Non AC Seater (2+3),20:00,04h 05m,00:05,2.7,174,40
10,KSRTC (Kerala) - 2712,Super Fast Non AC Seater (2+3),20:00,02h 50m,22:50,2.7,166,50
10,KSRTC (Kerala) - 2517,Swift Deluxe Non AC Air Bus (2+2),20:26,02h 50m,23:16,2.7,278,5
10,KSRTC (Kerala) - 2569,Super Fast Non AC Seater (2+3),20:35,04h 00m,00:35,2.7,174,40
10,KSRTC (Kerala) - 125,Super Deluxe Non AC Seater Air Bus (2+2),20:40,02h 55m,23:35,2.7,278,3
10,KSRTC (Kerala) - 1962,Super Fast Non AC Seater (2+3),20:45,03h 14m,23:59,2.7,181,47
10,KSRTC (Kerala) - 588,Super Express Non AC Seater Air Bus (2+2),21:00,03h 00m,00:00,2.7,201,7
10,KSRTC (Kerala) - 1901,Super Fast Non AC Seater (2+3),21:20,03h 10m,00:30,2.7,181,44
10,KSRTC (Kerala) - 2723,Super Fast Non AC Seater (2+3),21:45,03h 25m,01:10,2.7,174,27
10,KSRTC (Kerala) - 2783,Super Express Non AC Seater Air Bus (2+2),21:50,03h 10m,01:00,2.7,201,1
10,KSRTC (Kerala) - 819,Super Fast Non AC Seater (2+3),22:05,03h 40m,01:45,2.7,181,32
10,KSRTC (Kerala) - 561,Super Express Non AC Seater Air Bus (2+2),22:10,03h 45m,01:55,2.7,258,3
10,KSRTC (Kerala) - 1955,Super Fast Non AC Seater (2+3),22:20,03h 15m,01:35,2.7,181,28
10,KSRTC (Kerala) - 2996,Super Fast Non AC Seater (2+3),22:55,03h 35m,02:30,2.7,181,36
10,KSRTC (Kerala) - 811,Super Fast Non AC Seater (2+3),23:00,03h 20m,02:20,2.7,181,33
10,KSRTC (Kerala) - 2863,Super Express Non AC Seater Air Bus (2+2),23:00,02h 30m,01:30,2.7,216,7
10,KSRTC (Kerala) - 559,Super Express Non AC Seater Air Bus (2+2),23:10,03h 00m,02:10,2.7,216,12
10,KSRTC (Kerala) - 1377,AC MULTI AXLE,23:15,03h 05m,02:20,2.7,504,16
10,KSRTC (Kerala) - 312,Super Fast Non AC Seater (2+3),23:15,03h 30m,02:45,2.7,181,13
10,KSRTC (Kerala) - 1882,Low Floor AC Seater 2+2,23:25,03h 05m,02:30,2.7,253,3
10,KSRTC (Kerala) - 352,Super Fast Non AC Seater (2+3),23:45,03h 25m,03:10,2.7,181,6
10,KSRTC (Kerala) - 915,Super Fast Non AC Seater (2+3),23:45,03h 25m,03:10,2.7,174,27
10,Surya Connect,Volvo A/C Semi Sleeper (2+2),23:40,03h 05m,02:45,4.4,400,17
10,Ubc travels,A/C Semi Sleeper (2+2),22:30,02h 30m,01:00,3.7,650,41
10,Blue Bird Travels,A/C Seater Push Back (2+2),23:15,03h 35m,02:50,3.1,549,7
10,Madhavi Travels,A/C Semi Sleeper (2+2),23:20,02h 55m,02:15,4.0,699,24
